danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist_id,category,category_id,creation_date,_rid,_self,_etag,_attachments,_ts,album,artists,available_markets,disc_number,explicit,external_ids,external_urls,href,is_local,name,popularity,preview_url,track_number
0.381,0.908,4,-3.645,1,0.095,0.000578,0.000902,0.356,0.16,171.992,audio_features,3MhlFvO2TSMDltzrIkVxxm,spotify:track:3MhlFvO2TSMDltzrIkVxxm,https://api.spotify.com/v1/tracks/3MhlFvO2TSMDltzrIkVxxm,https://api.spotify.com/v1/audio-analysis/3MhlFvO2TSMDltzrIkVxxm,214884,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2113,ixBOAOMPL4WwAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WwAAAAAAAAAA==/,"""0900d7ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.406,0.814,6,-6.986,0,0.0558,0.158,0.448,0.111,0.0401,160.076,audio_features,1v03B6cFIhT0pNad4L1w9E,spotify:track:1v03B6cFIhT0pNad4L1w9E,https://api.spotify.com/v1/tracks/1v03B6cFIhT0pNad4L1w9E,https://api.spotify.com/v1/audio-analysis/1v03B6cFIhT0pNad4L1w9E,179118,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2113,ixBOAOMPL4WxAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WxAAAAAAAAAA==/,"""0900d8ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.487,0.885,11,-6.129,1,0.0594,0.0191,0.93,0.116,0.167,87.496,audio_features,3sceNZTdQ1CSlSULPbGlV2,spotify:track:3sceNZTdQ1CSlSULPbGlV2,https://api.spotify.com/v1/tracks/3sceNZTdQ1CSlSULPbGlV2,https://api.spotify.com/v1/audio-analysis/3sceNZTdQ1CSlSULPbGlV2,186567,4,37i9dQZF1EIfSTBvJ0oK9r,Jungle,65.0,2023-03-22T22:2135,ixBOAOMPL4WyAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WyAAAAAAAAAA==/,"""0900d9ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.214,0.98,0,-2.504,0,0.266,0.012,0.888,0.569,0.323,179.537,audio_features,3O1YBezLiXhAfeX4OhGRV5,spotify:track:3O1YBezLiXhAfeX4OhGRV5,https://api.spotify.com/v1/tracks/3O1YBezLiXhAfeX4OhGRV5,https://api.spotify.com/v1/audio-analysis/3O1YBezLiXhAfeX4OhGRV5,188674,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2113,ixBOAOMPL4WzAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WzAAAAAAAAAA==/,"""0900dace-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.597,0.886,10,-8.235,0,0.061,0.031,0.929,0.134,0.182,150.255,audio_features,5mWylOO0m2YQcAx67mgstG,spotify:track:5mWylOO0m2YQcAx67mgstG,https://api.spotify.com/v1/tracks/5mWylOO0m2YQcAx67mgstG,https://api.spotify.com/v1/audio-analysis/5mWylOO0m2YQcAx67mgstG,311761,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2113,ixBOAOMPL4W0AAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4W0AAAAAAAAAA==/,"""0900dbce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.367,0.874,8,-8.131,1,0.0483,0.0125,0.883,0.303,0.195,172.974,audio_features,1w7ymEwgIyekaIybYOikRx,spotify:track:1w7ymEwgIyekaIybYOikRx,https://api.spotify.com/v1/tracks/1w7ymEwgIyekaIybYOikRx,https://api.spotify.com/v1/audio-analysis/1w7ymEwgIyekaIybYOikRx,199769,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2114,ixBOAOMPL4W1AAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4W1AAAAAAAAAA==/,"""0900dcce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.353,0.89,1,-3.202,0,0.0447,0.000601,0.0121,0.212,0.0968,164.945,audio_features,2pgn3xjroPI53x7L7hwewH,spotify:track:2pgn3xjroPI53x7L7hwewH,https://api.spotify.com/v1/tracks/2pgn3xjroPI53x7L7hwewH,https://api.spotify.com/v1/audio-analysis/2pgn3xjroPI53x7L7hwewH,309307,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2114,ixBOAOMPL4W2AAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4W2AAAAAAAAAA==/,"""0900dece-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.175,0.961,8,-4.536,0,0.41,0.0166,0.965,0.424,0.0535,176.995,audio_features,5O92kx496eiuuHGn6iw4h8,spotify:track:5O92kx496eiuuHGn6iw4h8,https://api.spotify.com/v1/tracks/5O92kx496eiuuHGn6iw4h8,https://api.spotify.com/v1/audio-analysis/5O92kx496eiuuHGn6iw4h8,324000,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2114,ixBOAOMPL4W3AAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4W3AAAAAAAAAA==/,"""0900e0ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.34,0.982,4,-4.287,0,0.115,8.38e-05,0.815,0.131,0.0898,176.969,audio_features,0ROexSyivb8X5LLLzsTFuB,spotify:track:0ROexSyivb8X5LLLzsTFuB,https://api.spotify.com/v1/tracks/0ROexSyivb8X5LLLzsTFuB,https://api.spotify.com/v1/audio-analysis/0ROexSyivb8X5LLLzsTFuB,347193,4,37i9dQZF1EIfSTBvJ0oK9r,Jungle,65.0,2023-03-22T22:2136,ixBOAOMPL4W4AAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4W4AAAAAAAAAA==/,"""0900e5ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.25,0.723,4,-7.146,0,0.0419,5.16e-05,0.793,0.092,0.0699,87.672,audio_features,1qj58RQIFw7icsiKluMczd,spotify:track:1qj58RQIFw7icsiKluMczd,https://api.spotify.com/v1/tracks/1qj58RQIFw7icsiKluMczd,https://api.spotify.com/v1/audio-analysis/1qj58RQIFw7icsiKluMczd,200346,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2115,ixBOAOMPL4W5AAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4W5AAAAAAAAAA==/,"""0900ecce-0000-0b00-0000-646906200000""",attachments/,1684604448,,,,,,,,,,,,,
